name,parish,diocese
St. Antony's Church,Achinakom,6
Sacred Heart Church,Aimury,6
St. Antony's Church,Airoor,6
Ss. Gervasis & Protasis Church,Akaparambu,6
St. Mary's Church,Alangad,6
St. Mary's Church,Albuthapuram,6
St. Dominic's Church,Aluva,6
St. Joseph's Church,Amalapuram,6
Sacred Heart Church,Amalapuri,6
St. Jude's Church,Ambalamedu,6
Christ The King Church,Ambalamughal,6
St. Francis Assisi Church,Amballoor,6
St. Sebastian's Church,Ambunadu,6
Our Lady of Fathima Church,Anappara,6
St. Hormis Church,Angamaly East,6
St. Sebastian's Church,Annanad,6
St. Antony's Church,Antopuram,6
St. Joseph's Church,Appangad,6
St. Joseph's Church,Arakkunnam,6
St. Sebastian's Church,Asokapuram,6
St. Francis Assisi Church,Athani,6
St. Joseph's Church,Attapadam,6
St. Alphonsa Church,Attara,6
Our Lady of Perpetual Succor Church,Ayathupady,6
St. Mary's Church,Ayyampuzha,6
St. Joseph's Church,Besleham,6
St. Joseph's Church,Cable Nagar,6
St. George Church,Calvary (Munnoorpilly),6
Blessed Sacrament Church,Cardinal Nagar,6
St. Mary's Church,Carmelgiri (Moonamparambu),6
St. Rose Church,Chakkarakadavu,6
St. George Church,Chakkaraparambu,6
Sacred Heart church,Chalil,6
St. Sebastian's Church,Champannoor North,6
St. Rita's Church,Champannoor South,6
St. Mary's Church,Chandiroor,6
Fatima Matha Church,Changampuzha Nagar,6
Mother of Perpetual Succour Church,Chathamma,6
St. Sebastian's Church,Chelamattam,6
St. Antony's Church,Chemmanathukara,6
St. Thomas Church,Chempu,6
Holy Cross Church,Chendamangalam,6
St. Antony's Church,Chengamanad,6
St. Sebastian's Church,Cherai,6
St. Francis Xavier Church,Cheranalloor East,6
Fathima Matha Church,Cherukadapuram,6
Little Flower Church,Cherupushpalayam,6
Mary Immaculate Church,Chethicode,6
St. Jude's Church,Chittanadu,6
St. Thomas Church,Chittoor,6
St. Pius X Church,Choondy,6
St. Mary's Church,Chowara,6
St. George Church,Chully,6
St. Joseph's Church,Chunangamvely,6
St. Sebastian's Church,Devagiri,6
St. Antony's Church,Edakkunnu,6
St. Mary's Church,Edanad,6
St. Sebastian's Church,Edavoor,6
St. Mary's Church,Edayazham East,6
St. Joseph's Church,Edayazham West,6
St. Antony's Church,Elamakkara (Thanickal),6
Little Flower Church,Elamkulam,6
St. Mary's Church,Elavoor,6
St. Antony's Church,Elavoor (Kunnel),6
St. Anne's Curch,Eloor,6
St. Joseph's Church,Eramalloor,6
St. Thomas Church,Ezhattumugham,6
St. Mary's Assumption Church,Ezhikkara,6
St. Raphael Church,Ezhupunna,6
Little Flower Church,Flower Mount,6
Little Flower Church,Fort Kochi,6
St. George Church,Geopuram,6
St. Joseph's Church,HMT Estate,6
Sacred Heart church,Illithode,6
Infant Jesus Church,Irimpanam,6
St. Joseph's Church,Irumpayam,6
St. Joseph's Church,Josepuram,6
St. Thomas Church,Josepuram,6
St. Germain Church,Kacheripady,6
Christ the King Church,Kadakkarapally,6
St. Augustine's Church,Kadamakkudy,6
St. Joseph's Church,Kadavanthra,6
Infant Jesus Church,Kadukutty,6
Our Lady of Dolours Church,Kaippattoor,6
Mary Immaculate Church,Kaitharam,6
St. Francis Assisi Church,Kakkanad,6
St. George Church,Kalady,6
St. Joseph's Church,Kalamassery,6
Sacred Heart Church,Kalambattupuram,6
St. Antony's Church,Kalayathukunnu (Pothy),6
St. Joseph's Renewal Centre,Kaloor,6
Infant Jesus Church,Kandanad,6
St. Martin de Porres Church,Kannimangalam,6
Little Flower Church,Kaprassery,6
St. Jude's Church,Karanakodam,6
St. Joseph's Church,Karayamparambu,6
St. Joseph's Church,Karikkad (Varanam),6
St. Joseph's Church,Karikkamuri,6
St. Sebastian's Church,Karikode,6
Infant Jesus Church,Karimughal,6
St. Augustine's Church,Karippassery,6
St. George's Church,Karukulam,6
St. Joseph's Church,Karukunnu,6
Christ the King Church (Monastery),Karukutty,6
St. Thomas Church,Karumalloor,6
St. Mary's Church,Kathikudom,6
Holy Family Church,Kattapuram,6
St. Mary's Church,Kattikkunnu,6
Little Flower Church,Kavaraparambu,6
St. Michael Church,Kavil,6
Velankannimatha Church,Kedamangalam,6
Holy Family Church,Keechery,6
Sacred Heart Church,Keezhmadu,6
Infant Jesus Church,Kidangoor,6
St. Sebastian's Church,Kidangoor North,6
Infant Jesus Church,Kizhakkumbhagam,6
St. Thomas Church,Kizhakummuri,6
St. Antony's Church,Kodamthuruthu,6
St. Antony's Church,Kodanad,6
St. Joseph's Church,Kodussery,6
St. Thomas Church,Kokkamangalam,6
St. Joseph's Church,Kokkunnu,6
Queen Mary's Church,Kolenchery,6
St. Michael's Church,Kolengai,6
Infant Jesus Church,Kollakode,6
St. George Church,Kongorpilly,6
St. Joseph's Church,Konoor,6
St. John Nepumsian's Church,Konthuruthy,6
St. George Church,Koodalappad,6
Infant Jesus Church,Koovappadam,6
St. Francis Xavier Church,Kothavara,6
St. Joseph's Church,Kottamam,6
St. Mary's Church,Kottaparambu,6
St. Sebastian's Church,Kottarappilly,6
St. Mary's Church,Kudavechoor,6
St. Mary's Church,Kumbalam,6
St. Sebastian's Church,Kunnappillissery,6
Infant Jesus Church,Kunnel,6
St. Joseph's Church,Kunnumpuram,6
Mar Thoma International Shrine,Kurisumudi,6
Little Flower Church,Kurumassery,6
St. Sebastian's Church,Kuruppam,6
St. Francis Xavier Church,Kuthiathode (New),6
St. Thomas Church,Kuthiathode (Old),6
Ss. Joseph & Jude Church,Kuttipara,6
St. Sebastian's Church,Kuttipuzha,6
St. Augustine's Church,Kuzhuppilly,6
Little Flower Church,Lisieu Nagar,6
St. Joseph's Church,Madakkal,6
St. Thomas Church,Malayattoor,6
St. Joseph's Church,Malayattoor West,6
St. Mary's Church,Mallussery,6
St. Joseph's Church,Mampra,6
St. Sebastian's Church,Manakkodam,6
Little Flower Church,Manappuram,6
St. Joseph's Church,Mangalapuzha (Snehapuram),6
St. Thomas Church,Mangalassery,6
St. Rockey's Church,Manickamangalam,6
St Alphonsa Church,Manjaly,6
Holy Family Church,Mankuzhi,6
St. Gianna's Church,Maradu,6
St. Mary's Church,Mariapuram,6
St. Mary's Church,Mariathrikkai,6
St. Martin de Porres Church,Martin Nagar,6
St. Sebastian's Church,Maruthorvattam,6
St. Sebastian's Church,Marygiri,6
St. Mary's Church,Maryland,6
Our Lady of Velankanni Church,Matha Nagar,6
St. Antony's Church,Mattoor,6
St. Mary's Church,Mattoor Town,6
St. Mary's Church,Mekkad,6
St. Joseph's Church,Meloor,6
Mary Immaculate Church,Mevelloor,6
St. Mary's Church,Morakkala East,6
Holy Angels Church,Muppathadam (Edayar),6
St. Sebastian's Church,Muringoor,6
St. Antony's Church,Muttathiparambu,6
St. Mary's Church,N.A.D. Puram,6
St. Antony's Church,N.G.O. Quarters,6
Little Flower Church,Nadel,6
St. Antony's Church,Naduthuruthu,6
St. Antony's Church,Naduvattom,6
St. Mary's Church,Narakkal,6
Immaculate Heart Church,Nayarambalam,6
St. Joseph's Church,Nayathode,6
St. Thomas Church,Nedumprakadu,6
St. Augustine's Church,Nedungad,6
St. Mary's Church,Neduvannoor,6
Assumption Church,Neeleeswaram,6
St. Martin de Porres Church,Neendakara,6
St. Joseph's Church,Neendoor,6
St. Sebastian's Church,Neerikode,6
St. Maximillian Kolbe Church,Nettinampilly,6
St. Sebastian's Church,Nettoor,6
St. Peter's Church,Njalookara,6
St. Joseph's Church,Njaralloor,6
Our Lady of Perpetual Succour Church,Olanad,6
St. Thomas Church,Olive Mount,6
Mary Immaculate Church,Oraslam,6
St. Mary's Church,Ottappunna,6
St. Pius X Church,Pachalam,6
St. Maximillian Kolbe Church,Padamugal,6
St Antonys Church,Padinjarumbhagam,6
St. Mary's Church,Palappilly,6
St. Martin de Porres Church,Palarivattom,6
St. Sebastian's Church,Palissery,6
St. Mary's Church,Pallamthuruth,6
Infant Jesus of Prague Church,Pallimughal,6
St. Mary's Church,Palluruthy,6
St. James Church,Paluthara,6
Bharatha Rani Church,Panangad,6
St. Augustine's Church,Panavally,6
St. Joseph's Church,Panavally North,6
St. Sebastian's Church,Pandupara,6
St.Mother Theresa Church,Panthackal,6
St. George Church,Parappuram,6
St. Sebastian's Church,Parethitta,6
St. John Baptist Church,Parur South,6
Our Lady of Dolours Church,Pattanam,6
St. Augustine's Church,Pazhanganad,6
St Antony's Church,Pazhoor,6
St. Mary's Church,Peechanikkad,6
St. Joseph's Church,Peringazha,6
St. Andrews Church,Periyarmugham,6
Lourde Matha Church,Perumanoor,6
Mary Immaculate Church,Perumbavoor,6
St. Mary's Church,Plantation VI Block,6
St. Sebastian's Church,Plantation X Block,6
St. James Church,Poonithura,6
St. Joseph's Church,Pothiakara,6
Little Flower Church,Potta,6
St. Sebastian's Church,Prasadagiri,6
Holy Family Church,Prasannapuram,6
St. John's Church,Pukkattupady,6
St. Thomas Church,Pulluvazhy,6
Fathima Matha Church,Pushpagiri,6
Little Flower Church,Puthencruz,6
St. George Church,Puthenpally,6
St. Francis Xavier Church,Puthiyakavu,6
St. Joseph's Church,Puthiyaroad,6
St. Antony's Church,Puthuvaip,6
Little Flower Church,Puthuvassery,6
Christ the King Church,Rajagiri,6
St. Joseph's Church,Sanjo Nagar,6
St. Joseph's Church,Sanjopuram,6
St. Joseph's Church,Santhigiri (Nalukettu),6
St. Thomas Church,Santhipuram,6
St. Sebastian's Church,Sebipuram,6
St. Sebastian's Church,Sebiyoor,6
Holy Ghost Church,Sehiyonpuram,6
John Baptist Church,South Parur,6
St. Mary's Church,Srampickal,6
Holy Family Church,Thabore,6
St. Jude's Church,Thadeuspuram,6
Ss. Peter & Paul Church,Thaikattukara,6
St. Mary's Church,Thalappara,6
St. George Church,Thalayolaparambu,6
Sacred Heart Church,Thamarachalpuram,6
St. Joseph's Church,Thannipuzha,6
Precious Blood Church,Thannirmukkom,6
St. Antony's Church,Thathappilly,6
St. Thomas Church,Thattupara,6
St. Joseph's Church,Thavalappara,6
St. Thomas Church,Thengode,6
St. Martin de Porres Church,Thevackal,6
Sacred Heart Church,Thevara,6
Sacred Heart Church,Thiruhrudayakunnu,6
Little Flower Church,Thirumudikkunnu,6
St. Mary's Chapel,Thirumudikunnu (Leprosy Hospital),6
St. Joseph's Church,Thirunalloor,6
St. George Church,Thiruvamkulam,6
Mary Queen Church,Thoppil,6
St. Gregory's Church,Thottakom,6
St. Mary's Church,Thottoor,6
St. Joseph's Church,Thottuva,6
Little Flower Church,Thrikkakara,6
Sacred Heart Church,Thrineyamkudom (T.V.Puram),6
St. Mary's Church,Thundathumkadavu,6
St. Augustine's Church,Thuravoor North,6
St. Joseph's Church,Thuravoor South,6
Little Flower Church,Thuravumkara,6
St. Louis Church,Thuruthipuram,6
St. Joseph's Church,Thuthiyoor,6
St. Antony's Church,Thycattussery,6
St. Mary's Church,Thykkattu,6
St. Joseph's Church,Tracopuram,6
St. Sebastian's Church,Udayamperoor (New),6
Ss.Gervasis & Protasis Church,Udayamperoor (Old),6
St. Joseph's Church,Udayanapuram,6
St. Joseph's Church,Udayapuram (Chathakulam),6
St. Martin de Porres Church,Ulavaipu,6
Little Flower Church,Ullala,6
St. John's Church,University Centre,6
St. Anne's Church,Uzhuva,6
Infant Jesus Church,Vadayar,6
Sacred Heart Church,Vaduthala,6
Christuraj Church,Vaikom Town,6
Sacred Heart Church,Valamangalam,6
St. Mary's Church,Vallakom,6
St. Francis Xavier Church,Valliara,6
St. Antony's Church,Valluvally,6
St. Sebastian's Church,Valoor,6
Sacred Heart Church,Vanibhathadam,6
St. Thomas Church,Varappuzha,6
Bharatha Rani Church,Vathakkad,6
St. Thomas Church,Vattakunnu,6
Sacred Heart Church,Vayalar,6
St. Joseph's Church,Vazhakkala,6
Infant Jesus Church,Vazhakulam South,6
St. Sebastian's Church,Vazhichal,6
St. Joseph's Church,Vellarappilly South,6
St. Joseph's Church,Vengoor,6
St. Mathew's Church,Vennala,6
St. Sebastian's Church,Vettilapara,6
St. Joseph's Church,Vijopuram,6
St. Mary's Church,Vilangu,6
Mary Immaculate Church,Vimalagiri - Malayattoor,6
St. Damien's Church,Vyttila Hub,6
Our Lady of Fathima Church,West Koratty,6
St. John Baptist Church,Yordhanapuram,6
St. Joseph's Church, Nellikuzhy,2
St. Joseph's Church, Nellimattam,2
St. Joseph The Worker Church, Neriamangalam,2
St. Sebastian's Church, Neyyassery,2
St. Joseph's Church, Njarakad,2
St. Antony's Church, Njayappilly,2
Little Flower Forane Church, Oonnukal,2
St. Mary's Church, Ottalloor,2
St. Antony's Forane Church, Paingottoor,2
Little Flower Church, Pallickamury,2
St. Sebastian's Church, Pannimattam,2
St. Joseph's Church, Parapuzha,2
St. Mary's Church, Pareekanny,2
BVM Assum. Church, Pazhamapillichal,2
St. George Church, Peringassery,2
St. Joseph's Church, Peringuzha,2
St. George Church, Perumanoor,2
St. Joseph's Church, Perumpallichira,2
St. Pious X Church, Perumballoor,2
Sts. Peter & Paul Church, Ponnamthanam,2
St. Geroge Church, Pooyamkutty,2
St. Francis Xavier Church, Pothanikad,2
St. Alphonsa's Church, Pulickathotty,2
St. Sebastian's Church, Puliyanpara,2
St. Sebastian's Church, Punnamattam,2
St. Sebastian's Church, Purapuzha,2
Christuraj Church, Rajagiri (Vellallu),2
St. Micheals Church, Randar,2
BVM Lourdes Church, Thalayanad,2
St. Sebastian's Church, Thattakuzha,2
St. George Church, Thazhuvamkunnu,2
BVM Fatima Church, Thennathoor,2
St. Sebastian's Church, Thodupuzha,2
Vijnana Matha Church, Thodupuhza East,2
St. Thomas Church, Thommankuth,2
St. George & Sebastian's Church, Thottakara,2
St. Thomas Church, Thrikariyoor,2
St. Sebastian's Church, Udumbannoor,2
St. Alphonsa's Church, Uppukunnu,2
St. Jude Church, Urulanthanny,2
St. Sebastian's Church, Vadakode,2
St. Mary's Church, Vadattupara,2
St. George Church, Vandamattam,2
Mar Sleeva Church, Vannapuram,2
BVM Rosary Church, Vazhakala,2
St. George Church, Vazhakulam,2
St. Maxi. Kolbe Church, Vazhappilly East,2
St. Joseph's Forane Church, Velielchal,2
St. Sebastian's Church, Vettampara,2
St. Francis Sales Church, Vettimattam,2
St. George Cathedral, Kothamangalam,2
St. Thomas More Church, Alakode,2
St. Mary's Church, Ambikapuram,2
St. Martin De Porres Church, Anchiri,2
St. Alphonsa Church , Alphonsanagar,5
St. Jude Town Church , Adimali,5
St. Joseph Church , Anakulam,5
St. George Church , Anachal,5
St. Thomas Church , Ayiramekkar,5
St. Jacob Church , Bethel,5
St. Sebastian Church , Bhoomiyamkulam,5
St. Antonys Church , Bisonvalley,5
St. George Church , Calvarymount,5
BVM of Assumption Church , Chelliampara,5
St. Joseph Church , Chembalam,5
St. Xavier Church , Chemmannar,5
St. Peter Church , Chempakapara,5
St. Thomas , Chinnarnirappu,5
Vijayamatha Church , Eattithope,5
St. Antony Church , Ellakal,5
BVM Per. Help , Ezhukumvayal,5
St. George Church , Georgiar,5
St. George Church , Idukki,5
St. Antony Church , Irumpupalam,5
St. Joseph Church , Josegiri,5
St. Joseph Church , Josepuram,5
St. Joseph Church , Kailasam,5
St. Joseph Church , Kallar,5
St. Joseph Church , Kallarkutty,5
St. Marys Church , Kallupalam,5
St. Antony Church , Kamakshy,5
St. Jude Church , Kanakakkunnu,5
Lourde Matha Church , Kanchiyar,5
St. Mary Church , Kanjikuzhy,5
St. Sebastian Church , Kanthippara,5
St. Marys Church , Karimpan,5
St. Marys Church , Karithodu,5
St. George Church , Kattakala (Georgepuram),5
Nithya Sahaya Matha Church , Keerithodu,5
Holy Family Church , Kiliyarkandam,5
Infant Jesus Church , Kombayar,5
BVM Church , Korandakad,5
St. Joseph Church , Kozhimala,5
Holy Cross , Kurisupara,5
St. Joseph Church , kuthupara,5
St. Francis Assisi Church , Machiplavu,5
Velamkanni Matha Church , Mailadumpara,5
St. Mary Church , Maniyaramkudy,5
Christ the king Church , Manjappara,5
St. Marys Church , Manjappety,5
St. Thomas Church , Mankuva,5
BVM Im. Con Church , Mariyapuram,5
St. Marys Church , Maryland,5
St. Thomas Church , Mavady,5
St. Sebastian Church , Mukkudam,5
St. Martin de Pores , Mulakaramedu,5
St. Joseph Church , Mulakuvally,5
St. Michael , Munnar,5
St Maria Goretti Church , Murickumthotty,5
St. George , Muttukad,5
St. George Church , Nankuthotty,5
St. Joseph Church , Narakakanam,5
Holy Family church , Nazarathu Valley,5
St. Marys Church , Neelivayal,5
St. Xavier Church , Nellippara,5
St. Joseph Church , Pachady,5
St. George Church , Palar,5
St. Joseph Church , Panamkutty,5
St. Joseph Church , Pandippara,5
St. John Maria Vianney Church , Panickankudy,5
BVM Assum Church , Panniyarkutty,5
St. Sebastian Church , Pazhayarikandam,5
St. Marys Church , Perinchamkutty,5
St. Joseph Church , Pezhumkandam,5
BVM Purif. Church , Ponmudy,5
St. Marys Church , Ponnamala,5
St. Sebastian Church , Pottenkad,5
BVM Nativity Church , Rajakumary,5
Christ the King , Rajamudy,5
Christ the king Church , Rajapuram,5
St. Marys Church , Sahayagiri,5
St. Joseph Church , Santhigram,5
St. Benedict Church , Sleevamala,5
St. Sebastian Church , Snehagiri,5
St. Marys Church , Thannikandam,5
St George church , Thattekanni,5
St. Sebastian Church , Thokkupara,5
St. Antony Church , Thookkupalam,5
St. Maria Gorethi Church , Thopramkudy,5
Infant Jesus , Thovarayar,5
St. Joseph Church , Upputhodu,5
Infant Jesus Church , Vattappara,5
St. Marys Church , Vazhavara,5
St George church , Venmony,5
Vimala Matha Church , Vimalagiri,5
St Mary Church , Udayagiri,5
…,Airode,3
…,Alex Nagar,3
…,Amanakara,3
…,Arayangad,3
…,Areekkara,3
…,Arunootimangalam,3
…,Attappady,3
…,Bangalore Swargarani,3
…,Bisonvalley,3
…,Catherdal Parish,3
…,Chakkupallam,3
…,Chamakala,3
…,Chamathachal,3
…,Changaleri,3
…,Charamangalam,3
…,Chengalam,3
…,Cherpunkal,3
…,Cherukara,3
…,Chettukulam,3
…,Chingavanam,3
…,Christ Nagar,3
…,Chullikkara,3
…,Chulliyode,3
…,Chunkom,3
…,East Nattassery,3
…,Eachome,3
…,Edacat,3
…,Edakoly,3
…,Eravimangalam,3
…,Eraviperoor,3
…,Ettumanoor,3
…,Kadaba,3
…,Kaduthuruthy,3
…,Kaipuzha,3
…,Kallar,3
…,Kallara New,3
…,Kallara Old,3
…,Kallissery,3
…,Kanamvayal,3
…,Kaniyarvayal,3
…,Kannamkara,3
…,"Kannur, Sreepuram",3
…,Kappiset,3
…,Karimkunnam,3
…,Karippadom,3
…,Kattachira,3
…,Kattappana,3
…,Kattode,3
…,Kidangoor,3
…,Koodalloor,3
…,Kottody,3
…,Kottoorvayal,3
…,Kumarakom,3
…,Kurumulloor,3
…,Kuruppanthara,3
…,Kuttoor,3
…,Madampam,3
…,Makudalayam,3
…,Malakkallu,3
…,Malloossery,3
…,Mangalagiri,3
…,Mankidappally,3
…,Mannanam,3
…,Mannoor (Mattakkara),3
…,Maridom,3
…,Marika,3
…,Memury,3
…,Michaelgiri,3
…,Monippally,3
…,Mrala,3
…,Muttom,3
…,N.R.City,3
…,Neendoor,3
…,Neericad,3
…,Neezhoor,3
…,Nelliyady,3
…,Nuchiyad,3
…,Odayanchal,3
…,Olessa,3
…,Othara,3
…,Pachira,3
…,Padamughom,3
…,Palathuruth,3
…,Panniyal,3
…,Parambancherry,3
…,Payyavoor,3
…,Payyavoor Town,3
…,Perikkalloor,3
…,Peringala,3
…,Peroor,3
…,Piravom,3
…,Pius Mount,3
…,Pius Nagar,3
…,Pookkayam,3
…,Poothaly,3
…,Poozhikol,3
…,Pothukuzhy (Kolbenagar),3
…,Pulinjal,3
…,Punnathura,3
…,Puthussery,3
…,Puthuvely,3
…,Rajapuram,3
…,Ramamangalam St.Marys,3
…,Ramamangalam St.Thomas,3
…,Ranipuram,3
…,Ranni,3
…,S.H. Mount,3
…,Sankranthi,3
…,Senapathy,3
…,Thadiyampadu,3
…,Thellithode,3
…,Thengely,3
…,Thettamala,3
…,Thiroor,3
…,Thiruvamvandoor,3
…,Thottara,3
…,Thuruthikad,3
…,Trivandrum,3
…,Uzhavoor,3
…,Vadakkummury,3
…,Vakathanam,3
…,Varappetty,3
…,Vechoor,3
…,Veliyanad,3
…,Veliyannoor,3
…,Velloor,3
…,Bharananganam,4
…,Sibygiri,4
…,Kurumannu,4
…,Sibigiri,4
…,Moonnilavu,4
…,Manathoor,4
…,Melukavu,4
…,Arakulam,4
